N°,Reference,Name,Type,Period,Location,z,tau,RTN,RDIN,LTN,LDIN,LDIN/LTN,CTP,TN/TP,rho,LDON,LTN_out,LDIN_out,LDON_out,RDON
105,Schernewski 2003,Belau,Lake,1989-1994,Germany,9.0,0.8,0.5,,32.0,,,88.0,18.0,1.25,,16.0,,,
106,Smith et al. 1989,Kinneret,Lake,1969-1984,Israel,25.0,5.2,0.82,,9.0,,,20.0,25.0,0.1923076923076923,,1.6200000000000006,,,
107,Wetzel 2001,Mendota,Lake,unknown,USA,12.7,4.5,0.72,,5.0,,,110.0,5.0,0.2222222222222222,,1.4000000000000001,,,
108,Windolf et al. 1996,Borup Sø,Lake,1989-1992,Denmark,0.9,0.05,0.19,,147.0,,,150.0,33.0,20.0,,119.07000000000001,,,
109,Windolf et al. 1996,Bryrup Langsø,Lake,1989-1992,Denmark,4.6,0.3,0.49,,162.0,,,107.0,39.0,3.3333333333333335,,82.62,,,
110,Windolf et al. 1996,Dons Nørresø,Lake,1989-1992,Denmark,1.0,0.05,0.25,,148.0,,,216.0,23.0,20.0,,111.0,,,
111,Windolf et al. 1996,Fårup Sø,Lake,1989-1992,Denmark,5.6,0.5,0.57,,44.0,,,92.0,16.0,2.0,,18.92,,,
112,Windolf et al. 1996,Fuglesø,Lake,1989-1992,Denmark,2.0,0.1,0.54,,159.0,,,256.0,16.0,10.0,,73.14,,,
113,Windolf et al. 1996,Gundsømagle Sø,Lake,1989-1992,Denmark,1.2,0.08,0.37,,171.0,,,1127.0,5.0,12.5,,107.73,,,
114,Windolf et al. 1996,Hejrede Sø,Lake,1989-1992,Denmark,0.9,0.1,0.24,,88.0,,,123.0,35.0,10.0,,66.88,,,
115,Windolf et al. 1996,Hinge Sø,Lake,1989-1992,Denmark,1.2,0.04,0.18,,151.0,,,122.0,36.0,25.0,,123.82000000000001,,,
116,Windolf et al. 1996,Jels Oversø,Lake,1989-1992,Denmark,1.2,0.02,0.11,,708.0,,,273.0,25.0,50.0,,630.12,,,
117,Windolf et al. 1996,Kilen,Lake,1989-1992,Denmark,2.9,0.7,0.73,,34.0,,,187.0,12.0,1.4285714285714286,,9.18,,,
118,Windolf et al. 1996,Lange Sø,Lake,1989-1992,Denmark,3.1,0.6,0.45,,76.0,,,279.0,14.0,1.6666666666666667,,41.800000000000004,,,
119,Windolf et al. 1996,Lemvig Sø,Lake,1989-1992,Denmark,2.0,0.08,0.27,,245.0,,,239.0,18.0,12.5,,178.85,,,
120,Windolf et al. 1996,Ørn Sø,Lake,1989-1992,Denmark,4.0,0.04,0.12,,138.0,,,108.0,13.0,25.0,,121.44,,,
121,Windolf et al. 1996,Søgård Sø,Lake,1989-1992,Denmark,1.6,0.07,0.17,,301.0,,,272.0,25.0,14.285714285714285,,249.82999999999998,,,
122,Windolf et al. 1996,Store Søgård Sø,Lake,1989-1992,Denmark,2.7,0.2,0.29,,187.0,,,465.0,13.0,5.0,,132.76999999999998,,,
123,Windolf et al. 1996,Vesterborg Sø,Lake,1989-1992,Denmark,1.4,0.05,0.21,,281.0,,,241.0,22.0,20.0,,221.99,,,
